SampleID,CoreID,Site,Depth,RunType,paraffin,methoxy,carbohydrate,aromatic_C,sub_aromatic_C,O-sub_aromatic_C,carboxyl
SW1601_10,SW1601,Enriched,10,vacp,15.95138953,10.31121804,35.38694056,15.83048024,9.213164307,7.137966133,6.168841183
SW1601_40,SW1601,Enriched,40,vacp,23.19281718,10.48939752,27.00103729,13.40061557,10.35676025,7.056983012,8.502389171
SW1601_80,SW1601,Enriched,80,vacp,20.93557045,11.10027426,26.87986742,14.80207676,11.44053503,7.508469853,7.333206224
SW1601_130,SW1601,Enriched,130,vacp,23.12350219,11.18855533,23.364372,14.43694394,13.0027014,8.785955156,6.097969986
SW1601_190,SW1601,Enriched,190,vacp,19.0625748,11.31380243,25.10172848,14.91727535,13.09450412,9.256747445,7.253367376
SW1602_10,SW1602,Enriched,10,vacp,16.02263856,11.46174863,32.58001561,15.68891491,10.29794431,7.443403591,6.505334374
SW1602_30,SW1602,Enriched,30,vacp,16.19218071,10.61766594,35.11347722,15.56172362,9.857780609,7.601381242,5.05579065
SW1602_40,SW1602,Enriched,40,vacp,20.05277045,11.35210813,35.09934845,14.30940714,7.956491304,5.845134888,5.384739648
SW1602_80,SW1602,Enriched,80,vacp,25.25980807,9.928468429,20.76972801,14.08539747,12.97157916,9.88158577,7.103433089
SW1602_130,SW1602,Enriched,130,vacp,18.8089172,11.61146497,27.60754532,15.55316022,12.52817246,8.991180794,4.89955904
SW1603_10,SW1603,Enriched,10,vacp,18.04897234,11.21508636,32.39213133,14.73713476,9.468980342,7.356700639,6.780994229
SW1603_30,SW1603,Enriched,30,vacp,18.54313556,12.12085106,36.09264833,14.03660552,8.299703156,5.726541333,5.180515047
SW1603_40,SW1603,Enriched,40,vacp,24.46051039,10.88554954,26.94541152,13.21108322,10.39718747,7.260452932,6.839804929
SW1603_80,SW1603,Enriched,80,vacp,24.02401676,10.97832976,27.83457272,13.79318687,10.73061459,7.801092463,4.838186841
WE1602_10,WE1602,Reference,10,vacp,13.54807791,9.38760141,34.19436552,16.68640674,10.37894088,8.958340465,6.846267073
WE1602_20,WE1602,Reference,20,vacp,16.34336601,10.30305122,32.08201022,15.71862488,10.6302637,8.019467072,6.903216899
WE1602_30,WE1602,Reference,30,vacp,15.07949283,10.11676283,36.45092989,15.72583641,9.406651643,7.029295956,6.191030435
WE1602_40,WE1602,Reference,40,vacp,15.72960251,10.61902271,32.46351365,16.12559773,10.76658697,8.069336521,6.226339908
WE1602_80,WE1602,Reference,80,vacp,13.31597977,10.37103663,31.97562559,17.25865345,11.94238776,9.179716585,5.956600211
WE1603_10,WE1603,Reference,10,vacp,17.49080528,11.21473213,33.97186286,15.69249762,9.13145238,7.354749106,5.14390062
WE1603_30,WE1603,Reference,30,vacp,16.56724621,10.08726659,34.91467714,15.50087803,9.043686913,7.183742409,6.702502715
WE1603_80,WE1603,Reference,80,vacp,20.14461985,11.78561357,29.67686668,14.90467753,10.6895249,7.477878696,5.320818768
WE1603_130,WE1603,Reference,130,vacp,19.96407026,11.7148687,27.4827005,15.46531228,12.25337119,8.683907026,4.43577005
WE1603_190,WE1603,Reference,190,vacp,23.64950997,11.7620451,24.46371051,13.73449387,11.20896443,8.327736276,6.853539853
WE1604_10,WE1604,Reference,10,vacp,18.50834444,11.51843593,33.88464898,15.24355202,8.659946669,6.438209737,5.746862213
WE1604_40,WE1604,Reference,40,vacp,23.52688044,9.266074105,25.90924604,14.24448368,11.44737428,8.186553101,7.419388346
WE1604_80,WE1604,Reference,80,vacp,16.24145179,9.564079831,32.56722322,15.89921322,10.98015388,8.547904099,6.19997396
